,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
102,ABMAP2153,Metatarsal,45.1,Bd,Roman - Saxon,43 -- 199
145,ABMAP3025,Metatarsal,48.5,Bd,Roman - Saxon,833 -- 966
177,ABMAP85,Metatarsal,50.5,Bd,Roman - Saxon,775 -- 800
195,ABMAP84,Metatarsal,50.0,Bd,Roman - Saxon,840 -- 860
207,ABMAP83,Metatarsal,51.5,Bd,Roman - Saxon,775 -- 800
250,ABMAP17069,Metatarsal,49.0,Bd,Bronze - Iron Age,-800 -- -100
276,ABMAP30463,Metatarsal,46.0,Bd,Roman - Saxon,900 -- 1032
291,ABMAP26003,Metatarsal,42.5,Bd,Roman - Saxon,700 -- 732
295,ABMAP26004,Metatarsal,42.6,Bd,Roman - Saxon,700 -- 732
331,ABMAP26005,Metatarsal,51.6,Bd,Roman - Saxon,700 -- 732
358,ABMAP26125,Metatarsal,47.6,Bd,Roman - Saxon,733 -- 832
380,ABMAP26126,Metatarsal,46.3,Bd,Roman - Saxon,733 -- 832
463,ABMAP25553,Metatarsal,48.2,Bd,Roman - Saxon,833 -- 932
470,ABMAP25554,Metatarsal,49.6,Bd,Roman - Saxon,833 -- 932
515,ABMAP26515,Metatarsal,48.2,Bd,Roman - Saxon,833 -- 932
522,ABMAP26516,Metatarsal,49.6,Bd,Roman - Saxon,833 -- 932
650,ABMAP2983,Metatarsal,44.3,Bd,Medieval,1200 -- 1399
713,ABMAP16582,Metatarsal,42.7,Bd,Medieval,1139 -- 1200
774,ABMAP478,Metatarsal,48.3,Bd,Bronze - Iron Age,-100 -- -43
807,ABMAP496,Metatarsal,49.1,Bd,Bronze - Iron Age,-100 -- -43
863,ABMAP584,Metatarsal,45.9,Bd,Bronze - Iron Age,-100 -- -43
875,ABMAP543,Metatarsal,46.0,Bd,Bronze - Iron Age,-100 -- -43
918,ABMAP29003,Metatarsal,50.2,Bd,Medieval,1100 -- 1250
927,ABMAP28571,Metatarsal,46.4,Bd,Medieval,1450 -- 1800
944,ABMAP29036,Metatarsal,47.5,Bd,Medieval,1250 -- 1400
967,ABMAP28691,Metatarsal,47.0,Bd,Medieval,1450 -- 1800
968,ABMAP28696,Metatarsal,41.2,Bd,Medieval,1300 -- 1450
1004,ABMAP29246,Metatarsal,46.6,Bd,Medieval,1300 -- 1450
1008,ABMAP29248,Metatarsal,46.1,Bd,Medieval,1300 -- 1450
1012,ABMAP29253,Metatarsal,43.9,Bd,Medieval,1300 -- 1450
1099,ABMAP29380,Metatarsal,42.9,Bd,Medieval,1100 -- 1250
1121,ABMAP29417,Metatarsal,49.1,Bd,Medieval,1100 -- 1250
1156,ABMAP29431,Metatarsal,43.6,Bd,Roman - Saxon,950 -- 1100
1165,ABMAP29506,Metatarsal,45.2,Bd,Roman - Saxon,950 -- 1100
1176,ABMAP28763,Metatarsal,44.7,Bd,Medieval,1300 -- 1450
1207,ABMAP28739,Metatarsal,48.5,Bd,Medieval,1300 -- 1450
1223,ABMAP28804,Metatarsal,46.1,Bd,Medieval,1100 -- 1250
1225,ABMAP28805,Metatarsal,46.4,Bd,Medieval,1100 -- 1250
1235,ABMAP28810,Metatarsal,45.1,Bd,Medieval,1100 -- 1250
1239,ABMAP28958,Metatarsal,43.3,Bd,Medieval,1100 -- 1250
1245,ABMAP28816,Metatarsal,46.2,Bd,Medieval,1250 -- 1400
1256,ABMAP28827,Metatarsal,48.2,Bd,Medieval,1300 -- 1450
1284,ABMAP28847,Metatarsal,46.4,Bd,Medieval,1250 -- 1400
1288,ABMAP28808,Metatarsal,47.2,Bd,Medieval,1100 -- 1250
1293,ABMAP28857,Metatarsal,44.8,Bd,Medieval,1100 -- 1250
1328,ABMAP28906,Metatarsal,44.1,Bd,Medieval,1250 -- 1400
1393,ABMAP16637,Metatarsal,46.5,Bd,Medieval,1167 -- 1399
1409,ABMAP16639,Metatarsal,46.4,Bd,Medieval,1033 -- 1199
1448,ABMAP16641,Metatarsal,43.1,Bd,Medieval,1033 -- 1199
1454,ABMAP16642,Metatarsal,43.6,Bd,Medieval,1033 -- 1199
1495,ABMAP16638,Metatarsal,48.3,Bd,Medieval,1367 -- 1499
1513,ABMAP9524,Metatarsal,53.8,Bd,Roman - Saxon,333 -- 366
1516,ABMAP9525,Metatarsal,47.5,Bd,Roman - Saxon,333 -- 366
1519,ABMAP9526,Metatarsal,46.5,Bd,Roman - Saxon,333 -- 399
1539,ABMAP9527,Metatarsal,45.3,Bd,Roman - Saxon,367 -- 399
1541,ABMAP9528,Metatarsal,51.1,Bd,Roman - Saxon,367 -- 399
1544,ABMAP9529,Metatarsal,52.3,Bd,Roman - Saxon,367 -- 399
1547,ABMAP9530,Metatarsal,42.1,Bd,Roman - Saxon,367 -- 399
1550,ABMAP9531,Metatarsal,49.8,Bd,Roman - Saxon,367 -- 399
1565,ABMAP9532,Metatarsal,44.0,Bd,Roman - Saxon,300 -- 399
1568,ABMAP9533,Metatarsal,40.5,Bd,Roman - Saxon,300 -- 399
1571,ABMAP9534,Metatarsal,49.4,Bd,Roman - Saxon,300 -- 399
1583,ABMAP9520,Metatarsal,48.6,Bd,Roman - Saxon,67 -- 132
1592,ABMAP9521,Metatarsal,49.5,Bd,Roman - Saxon,100 -- 399
1594,ABMAP9522,Metatarsal,46.4,Bd,Roman - Saxon,100 -- 399
