,BONEID,MEASURE,MEASTYPE,PERIOD,RANGE,Unnamed: 0,ELEMENT
0,ABMAP2024,48.3,Bd,Roman - Saxon,43 -- 410,5.0,Metacarpal
5,ABMAP11924,48.3,Bd,Roman - Saxon,43 -- 410,33.0,Metacarpal
8,ABMAP11925,48.3,Bd,Roman - Saxon,43 -- 410,36.0,Metacarpal
11,ABMAP2145,44.0,Bd,Roman - Saxon,267 -- 399,109.0,Metacarpal
18,ABMAP79,48.3,Bd,Roman - Saxon,775 -- 800,156.0,Metacarpal
23,ABMAP80,48.0,Bd,Roman - Saxon,775 -- 800,163.0,Metacarpal
27,ABMAP81,48.7,Bd,Roman - Saxon,775 -- 800,167.0,Metacarpal
32,ABMAP82,48.8,Bd,Roman - Saxon,775 -- 800,183.0,Metacarpal
37,ABMAP30462,47.5,Bd,Roman - Saxon,900 -- 1032,269.0,Metacarpal
42,ABMAP25991,45.3,Bd,Roman - Saxon,700 -- 732,306.0,Metacarpal
47,ABMAP25542,50.5,Bd,Roman - Saxon,833 -- 932,398.0,Metacarpal
54,ABMAP26503,50.5,Bd,Roman - Saxon,833 -- 932,408.0,Metacarpal
67,ABMAP2980,46.1,Bd,Roman - Saxon,900 -- 999,604.0,Metacarpal
72,ABMAP2981,45.7,Bd,Roman - Saxon,900 -- 999,609.0,Metacarpal
77,ABMAP2982,45.8,Bd,Medieval,1300 -- 1499,675.0,Metacarpal
86,ABMAP16576,43.4,Bd,Medieval,1139 -- 1200,714.0,Metacarpal
87,ABMAP20062,60.6,Bd,Medieval,1700 -- 1799,727.0,Metacarpal
93,ABMAP20060,47.4,Bd,Medieval,1700 -- 1899,749.0,Metacarpal
103,ABMAP574,46.7,Bd,Bronze - Iron Age,-100 -- -43,823.0,Metacarpal
108,ABMAP575,46.7,Bd,Bronze - Iron Age,-100 -- -43,828.0,Metacarpal
113,ABMAP542,44.3,Bd,Bronze - Iron Age,-100 -- -43,869.0,Metacarpal
119,ABMAP548,39.9,Bd,Bronze - Iron Age,-100 -- -43,888.0,Metacarpal
124,ABMAP28618,43.1,Bd,Medieval,1300 -- 1450,908.0,Metacarpal
125,ABMAP28684,48.0,Bd,Medieval,1250 -- 1400,963.0,Metacarpal
127,ABMAP29236,45.9,Bd,Medieval,1300 -- 1450,994.0,Metacarpal
131,ABMAP29255,44.9,Bd,Medieval,1450 -- 1800,1017.0,Metacarpal
134,ABMAP29259,45.7,Bd,Medieval,1450 -- 1800,1022.0,Metacarpal
136,ABMAP29277,44.7,Bd,Medieval,1250 -- 1400,1033.0,Metacarpal
140,ABMAP29321,43.1,Bd,Medieval,1250 -- 1400,1071.0,Metacarpal
143,ABMAP29370,46.0,Bd,Medieval,1100 -- 1250,1093.0,Metacarpal
146,ABMAP29389,49.7,Bd,Medieval,1100 -- 1250,1106.0,Metacarpal
150,ABMAP29154,44.2,Bd,Medieval,1100 -- 1250,1142.0,Metacarpal
154,ABMAP29429,43.9,Bd,Roman - Saxon,950 -- 1100,1152.0,Metacarpal
158,ABMAP29505,44.6,Bd,Roman - Saxon,950 -- 1100,1162.0,Metacarpal
161,ABMAP28762,48.2,Bd,Medieval,1250 -- 1400,1172.0,Metacarpal
165,ABMAP28770,44.5,Bd,Medieval,1100 -- 1250,1179.0,Metacarpal
166,ABMAP28741,45.8,Bd,Medieval,1300 -- 1450,1211.0,Metacarpal
