,BONEID,MEASURE,MEASTYPE,PERIOD,RANGE,Unnamed: 0,ELEMENT
0,ABMAP2153,45.1,Bd,Roman - Saxon,43 -- 199,102.0,Metatarsal
5,ABMAP3025,48.5,Bd,Roman - Saxon,833 -- 966,145.0,Metatarsal
6,ABMAP85,50.5,Bd,Roman - Saxon,775 -- 800,177.0,Metatarsal
10,ABMAP84,50.0,Bd,Roman - Saxon,840 -- 860,195.0,Metatarsal
13,ABMAP83,51.5,Bd,Roman - Saxon,775 -- 800,207.0,Metatarsal
18,ABMAP17069,49.0,Bd,Bronze - Iron Age,-800 -- -100,250.0,Metatarsal
25,ABMAP30463,46.0,Bd,Roman - Saxon,900 -- 1032,276.0,Metatarsal
28,ABMAP26003,42.5,Bd,Roman - Saxon,700 -- 732,291.0,Metatarsal
32,ABMAP26004,42.6,Bd,Roman - Saxon,700 -- 732,295.0,Metatarsal
36,ABMAP26005,51.6,Bd,Roman - Saxon,700 -- 732,331.0,Metatarsal
42,ABMAP26125,47.6,Bd,Roman - Saxon,733 -- 832,358.0,Metatarsal
46,ABMAP26126,46.3,Bd,Roman - Saxon,733 -- 832,380.0,Metatarsal
51,ABMAP25553,48.2,Bd,Roman - Saxon,833 -- 932,463.0,Metatarsal
58,ABMAP25554,49.6,Bd,Roman - Saxon,833 -- 932,470.0,Metatarsal
65,ABMAP26515,48.2,Bd,Roman - Saxon,833 -- 932,515.0,Metatarsal
72,ABMAP26516,49.6,Bd,Roman - Saxon,833 -- 932,522.0,Metatarsal
89,ABMAP2983,44.3,Bd,Medieval,1200 -- 1399,650.0,Metatarsal
96,ABMAP16582,42.7,Bd,Medieval,1139 -- 1200,713.0,Metatarsal
97,ABMAP478,48.3,Bd,Bronze - Iron Age,-100 -- -43,774.0,Metatarsal
110,ABMAP496,49.1,Bd,Bronze - Iron Age,-100 -- -43,807.0,Metatarsal
116,ABMAP584,45.9,Bd,Bronze - Iron Age,-100 -- -43,863.0,Metatarsal
121,ABMAP543,46.0,Bd,Bronze - Iron Age,-100 -- -43,875.0,Metatarsal
127,ABMAP29003,50.2,Bd,Medieval,1100 -- 1250,918.0,Metatarsal
129,ABMAP28571,46.4,Bd,Medieval,1450 -- 1800,927.0,Metatarsal
132,ABMAP29036,47.5,Bd,Medieval,1250 -- 1400,944.0,Metatarsal
136,ABMAP28691,47.0,Bd,Medieval,1450 -- 1800,967.0,Metatarsal
137,ABMAP28696,41.2,Bd,Medieval,1300 -- 1450,968.0,Metatarsal
142,ABMAP29246,46.6,Bd,Medieval,1300 -- 1450,1004.0,Metatarsal
146,ABMAP29248,46.1,Bd,Medieval,1300 -- 1450,1008.0,Metatarsal
150,ABMAP29253,43.9,Bd,Medieval,1300 -- 1450,1012.0,Metatarsal
152,ABMAP29380,42.9,Bd,Medieval,1100 -- 1250,1099.0,Metatarsal
155,ABMAP29417,49.1,Bd,Medieval,1100 -- 1250,1121.0,Metatarsal
157,ABMAP29431,43.6,Bd,Roman - Saxon,950 -- 1100,1156.0,Metatarsal
161,ABMAP29506,45.2,Bd,Roman - Saxon,950 -- 1100,1165.0,Metatarsal
165,ABMAP28763,44.7,Bd,Medieval,1300 -- 1450,1176.0,Metatarsal
168,ABMAP28739,48.5,Bd,Medieval,1300 -- 1450,1207.0,Metatarsal
169,ABMAP28804,46.1,Bd,Medieval,1100 -- 1250,1223.0,Metatarsal
171,ABMAP28805,46.4,Bd,Medieval,1100 -- 1250,1225.0,Metatarsal
174,ABMAP28810,45.1,Bd,Medieval,1100 -- 1250,1235.0,Metatarsal
178,ABMAP28958,43.3,Bd,Medieval,1100 -- 1250,1239.0,Metatarsal
179,ABMAP28816,46.2,Bd,Medieval,1250 -- 1400,1245.0,Metatarsal
181,ABMAP28827,48.2,Bd,Medieval,1300 -- 1450,1256.0,Metatarsal
183,ABMAP28847,46.4,Bd,Medieval,1250 -- 1400,1284.0,Metatarsal
187,ABMAP28808,47.2,Bd,Medieval,1100 -- 1250,1288.0,Metatarsal
189,ABMAP28857,44.8,Bd,Medieval,1100 -- 1250,1293.0,Metatarsal
193,ABMAP28906,44.1,Bd,Medieval,1250 -- 1400,1328.0,Metatarsal
195,ABMAP16637,46.5,Bd,Medieval,1167 -- 1399,1393.0,Metatarsal
202,ABMAP16639,46.4,Bd,Medieval,1033 -- 1199,1409.0,Metatarsal
