,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
5,ABMAP2024,Metacarpal,48.3,Bd,Roman - Saxon,43 -- 410
6,ABMAP2024,Metacarpal,48.5,Bp,Roman - Saxon,43 -- 410
7,ABMAP2024,Metacarpal,32.3,Dp,Roman - Saxon,43 -- 410
8,ABMAP2024,Metacarpal,220.0,Ll,Roman - Saxon,43 -- 410
9,ABMAP2024,Metacarpal,31.5,SD,Roman - Saxon,43 -- 410
33,ABMAP11924,Metacarpal,48.3,Bd,Roman - Saxon,43 -- 410
34,ABMAP11924,Metacarpal,36.0,Dd,Roman - Saxon,43 -- 410
35,ABMAP11924,Metacarpal,23.2,TD,Roman - Saxon,43 -- 410
36,ABMAP11925,Metacarpal,48.3,Bd,Roman - Saxon,43 -- 410
37,ABMAP11925,Metacarpal,36.0,Dd,Roman - Saxon,43 -- 410
38,ABMAP11925,Metacarpal,23.2,TD,Roman - Saxon,43 -- 410
109,ABMAP2145,Metacarpal,44.0,Bd,Roman - Saxon,267 -- 399
110,ABMAP2145,Metacarpal,43.4,Bp,Roman - Saxon,267 -- 399
111,ABMAP2145,Metacarpal,27.0,Dp,Roman - Saxon,267 -- 399
112,ABMAP2145,Metacarpal,190.0,Ll,Roman - Saxon,267 -- 399
113,ABMAP2145,Metacarpal,29.5,SD,Roman - Saxon,267 -- 399
143,ABMAP3015,Metacarpal,46.7,Bp,Roman - Saxon,833 -- 966
144,ABMAP3015,Metacarpal,30.8,Dp,Roman - Saxon,833 -- 966
156,ABMAP79,Metacarpal,48.3,Bd,Roman - Saxon,775 -- 800
157,ABMAP79,Metacarpal,49.3,Bp,Roman - Saxon,775 -- 800
158,ABMAP79,Metacarpal,219.0,GL,Roman - Saxon,775 -- 800
159,ABMAP79,Metacarpal,210.0,GLl,Roman - Saxon,775 -- 800
160,ABMAP79,Metacarpal,35.7,SD,Roman - Saxon,775 -- 800
163,ABMAP80,Metacarpal,48.0,Bd,Roman - Saxon,775 -- 800
164,ABMAP80,Metacarpal,49.4,Bp,Roman - Saxon,775 -- 800
165,ABMAP80,Metacarpal,216.0,GLl,Roman - Saxon,775 -- 800
166,ABMAP80,Metacarpal,33.6,SD,Roman - Saxon,775 -- 800
167,ABMAP81,Metacarpal,48.7,Bd,Roman - Saxon,775 -- 800
168,ABMAP81,Metacarpal,50.5,Bp,Roman - Saxon,775 -- 800
169,ABMAP81,Metacarpal,227.0,GL,Roman - Saxon,775 -- 800
170,ABMAP81,Metacarpal,218.0,GLl,Roman - Saxon,775 -- 800
171,ABMAP81,Metacarpal,36.0,SD,Roman - Saxon,775 -- 800
183,ABMAP82,Metacarpal,48.8,Bd,Roman - Saxon,775 -- 800
184,ABMAP82,Metacarpal,49.0,Bp,Roman - Saxon,775 -- 800
185,ABMAP82,Metacarpal,226.0,GL,Roman - Saxon,775 -- 800
186,ABMAP82,Metacarpal,217.0,GLl,Roman - Saxon,775 -- 800
187,ABMAP82,Metacarpal,34.4,SD,Roman - Saxon,775 -- 800
269,ABMAP30462,Metacarpal,47.5,Bd,Roman - Saxon,900 -- 1032
270,ABMAP30462,Metacarpal,49.2,Bp,Roman - Saxon,900 -- 1032
271,ABMAP30462,Metacarpal,33.3,Dp,Roman - Saxon,900 -- 1032
272,ABMAP30462,Metacarpal,228.1,GL,Roman - Saxon,900 -- 1032
273,ABMAP30462,Metacarpal,218.7,Ll,Roman - Saxon,900 -- 1032
306,ABMAP25991,Metacarpal,45.3,Bd,Roman - Saxon,700 -- 732
307,ABMAP25991,Metacarpal,47.2,Bp,Roman - Saxon,700 -- 732
308,ABMAP25991,Metacarpal,31.1,Dp,Roman - Saxon,700 -- 732
309,ABMAP25991,Metacarpal,217.7,GL,Roman - Saxon,700 -- 732
310,ABMAP25991,Metacarpal,32.3,SD,Roman - Saxon,700 -- 732
398,ABMAP25542,Metacarpal,50.5,Bd,Roman - Saxon,833 -- 932
399,ABMAP25542,Metacarpal,49.2,Bp,Roman - Saxon,833 -- 932
400,ABMAP25542,Metacarpal,25.3,CD,Roman - Saxon,833 -- 932
401,ABMAP25542,Metacarpal,30.4,Dp,Roman - Saxon,833 -- 932
402,ABMAP25542,Metacarpal,218.6,GL,Roman - Saxon,833 -- 932
403,ABMAP25542,Metacarpal,207.0,Ll,Roman - Saxon,833 -- 932
404,ABMAP25542,Metacarpal,32.8,SD,Roman - Saxon,833 -- 932
408,ABMAP26503,Metacarpal,50.5,Bd,Roman - Saxon,833 -- 932
409,ABMAP26503,Metacarpal,49.2,Bp,Roman - Saxon,833 -- 932
410,ABMAP26503,Metacarpal,25.3,CD,Roman - Saxon,833 -- 932
411,ABMAP26503,Metacarpal,30.4,Dp,Roman - Saxon,833 -- 932
412,ABMAP26503,Metacarpal,218.6,GL,Roman - Saxon,833 -- 932
413,ABMAP26503,Metacarpal,207.0,Ll,Roman - Saxon,833 -- 932
414,ABMAP26503,Metacarpal,32.8,SD,Roman - Saxon,833 -- 932
431,ABMAP25543,Metacarpal,33.6,Dp,Roman - Saxon,833 -- 932
432,ABMAP25543,Metacarpal,212.8,GL,Roman - Saxon,833 -- 932
433,ABMAP25543,Metacarpal,32.5,SD,Roman - Saxon,833 -- 932
483,ABMAP26504,Metacarpal,33.6,Dp,Roman - Saxon,833 -- 932
484,ABMAP26504,Metacarpal,212.8,GL,Roman - Saxon,833 -- 932
485,ABMAP26504,Metacarpal,32.5,SD,Roman - Saxon,833 -- 932
604,ABMAP2980,Metacarpal,46.1,Bd,Roman - Saxon,900 -- 999
605,ABMAP2980,Metacarpal,46.5,Bp,Roman - Saxon,900 -- 999
606,ABMAP2980,Metacarpal,200.2,GL,Roman - Saxon,900 -- 999
607,ABMAP2980,Metacarpal,197.0,GLl,Roman - Saxon,900 -- 999
608,ABMAP2980,Metacarpal,32.0,SD,Roman - Saxon,900 -- 999
609,ABMAP2981,Metacarpal,45.7,Bd,Roman - Saxon,900 -- 999
610,ABMAP2981,Metacarpal,45.5,Bp,Roman - Saxon,900 -- 999
611,ABMAP2981,Metacarpal,200.4,GL,Roman - Saxon,900 -- 999
612,ABMAP2981,Metacarpal,192.7,GLl,Roman - Saxon,900 -- 999
613,ABMAP2981,Metacarpal,31.8,SD,Roman - Saxon,900 -- 999
675,ABMAP2982,Metacarpal,45.8,Bd,Medieval,1300 -- 1499
676,ABMAP2982,Metacarpal,216.7,GL,Medieval,1300 -- 1499
677,ABMAP2982,Metacarpal,209.1,GLl,Medieval,1300 -- 1499
678,ABMAP2982,Metacarpal,29.3,SD,Medieval,1300 -- 1499
694,ABMAP16575,Metacarpal,248.0,GL,Medieval,1139 -- 1200
695,ABMAP16575,Metacarpal,236.0,Ll,Medieval,1139 -- 1200
696,ABMAP16575,Metacarpal,37.2,SD,Medieval,1139 -- 1200
697,ABMAP16575,Metacarpal,54.9,Bp,Medieval,1139 -- 1200
698,ABMAP16575,Metacarpal,36.5,Dp,Medieval,1139 -- 1200
714,ABMAP16576,Metacarpal,43.4,Bd,Medieval,1139 -- 1200
727,ABMAP20062,Metacarpal,60.6,Bd,Medieval,1700 -- 1799
728,ABMAP20062,Metacarpal,60.0,Bp,Medieval,1700 -- 1799
729,ABMAP20062,Metacarpal,37.8,Dp,Medieval,1700 -- 1799
730,ABMAP20062,Metacarpal,253.0,GL,Medieval,1700 -- 1799
731,ABMAP20062,Metacarpal,242.0,Ll,Medieval,1700 -- 1799
732,ABMAP20062,Metacarpal,41.4,SD,Medieval,1700 -- 1799
749,ABMAP20060,Metacarpal,47.4,Bd,Medieval,1700 -- 1899
750,ABMAP20060,Metacarpal,31.0,SD,Medieval,1700 -- 1899
763,ABMAP474,Metacarpal,47.7,Bp,Bronze - Iron Age,-100 -- -43
764,ABMAP474,Metacarpal,29.4,Dp,Bronze - Iron Age,-100 -- -43
765,ABMAP474,Metacarpal,210.1,GL,Bronze - Iron Age,-100 -- -43
766,ABMAP474,Metacarpal,30.3,SD,Bronze - Iron Age,-100 -- -43
790,ABMAP470,Metacarpal,42.8,Bp,Bronze - Iron Age,-100 -- -43
791,ABMAP470,Metacarpal,27.2,Dp,Bronze - Iron Age,-100 -- -43
792,ABMAP470,Metacarpal,130.9,GL,Bronze - Iron Age,-100 -- -43
793,ABMAP470,Metacarpal,26.8,SD,Bronze - Iron Age,-100 -- -43
823,ABMAP574,Metacarpal,46.7,Bd,Bronze - Iron Age,-100 -- -43
824,ABMAP574,Metacarpal,44.8,Bp,Bronze - Iron Age,-100 -- -43
825,ABMAP574,Metacarpal,30.4,Dp,Bronze - Iron Age,-100 -- -43
826,ABMAP574,Metacarpal,195.0,GL,Bronze - Iron Age,-100 -- -43
827,ABMAP574,Metacarpal,29.2,SD,Bronze - Iron Age,-100 -- -43
828,ABMAP575,Metacarpal,46.7,Bd,Bronze - Iron Age,-100 -- -43
829,ABMAP575,Metacarpal,47.0,Bp,Bronze - Iron Age,-100 -- -43
830,ABMAP575,Metacarpal,29.4,Dp,Bronze - Iron Age,-100 -- -43
831,ABMAP575,Metacarpal,211.0,GL,Bronze - Iron Age,-100 -- -43
832,ABMAP575,Metacarpal,29.9,SD,Bronze - Iron Age,-100 -- -43
869,ABMAP542,Metacarpal,44.3,Bd,Bronze - Iron Age,-100 -- -43
870,ABMAP542,Metacarpal,42.1,Bp,Bronze - Iron Age,-100 -- -43
871,ABMAP542,Metacarpal,29.2,Dp,Bronze - Iron Age,-100 -- -43
872,ABMAP542,Metacarpal,186.0,GL,Bronze - Iron Age,-100 -- -43
873,ABMAP542,Metacarpal,179.9,Ll,Bronze - Iron Age,-100 -- -43
874,ABMAP542,Metacarpal,27.2,SD,Bronze - Iron Age,-100 -- -43
888,ABMAP548,Metacarpal,39.9,Bd,Bronze - Iron Age,-100 -- -43
889,ABMAP548,Metacarpal,42.3,Bp,Bronze - Iron Age,-100 -- -43
890,ABMAP548,Metacarpal,28.3,Dp,Bronze - Iron Age,-100 -- -43
891,ABMAP548,Metacarpal,181.0,GL,Bronze - Iron Age,-100 -- -43
892,ABMAP548,Metacarpal,27.5,SD,Bronze - Iron Age,-100 -- -43
908,ABMAP28618,Metacarpal,43.1,Bd,Medieval,1300 -- 1450
963,ABMAP28684,Metacarpal,48.0,Bd,Medieval,1250 -- 1400
964,ABMAP28684,Metacarpal,35.3,Dd,Medieval,1250 -- 1400
994,ABMAP29236,Metacarpal,45.9,Bd,Medieval,1300 -- 1450
995,ABMAP29236,Metacarpal,33.6,Dd,Medieval,1300 -- 1450
996,ABMAP29236,Metacarpal,209.8,GL,Medieval,1300 -- 1450
997,ABMAP29236,Metacarpal,29.9,SD,Medieval,1300 -- 1450
1017,ABMAP29255,Metacarpal,44.9,Bd,Medieval,1450 -- 1800
1018,ABMAP29255,Metacarpal,32.0,Dd,Medieval,1450 -- 1800
1019,ABMAP29255,Metacarpal,206.4,GL,Medieval,1450 -- 1800
1022,ABMAP29259,Metacarpal,45.7,Bd,Medieval,1450 -- 1800
1023,ABMAP29259,Metacarpal,34.4,Dd,Medieval,1450 -- 1800
1033,ABMAP29277,Metacarpal,44.7,Bd,Medieval,1250 -- 1400
1034,ABMAP29277,Metacarpal,33.5,Dd,Medieval,1250 -- 1400
1035,ABMAP29277,Metacarpal,205.0,GL,Medieval,1250 -- 1400
1036,ABMAP29277,Metacarpal,30.4,SD,Medieval,1250 -- 1400
1071,ABMAP29321,Metacarpal,43.1,Bd,Medieval,1250 -- 1400
1072,ABMAP29321,Metacarpal,211.6,GL,Medieval,1250 -- 1400
1073,ABMAP29321,Metacarpal,30.6,SD,Medieval,1250 -- 1400
1093,ABMAP29370,Metacarpal,46.0,Bd,Medieval,1100 -- 1250
1094,ABMAP29370,Metacarpal,218.3,GL,Medieval,1100 -- 1250
1095,ABMAP29370,Metacarpal,30.1,SD,Medieval,1100 -- 1250
1106,ABMAP29389,Metacarpal,49.7,Bd,Medieval,1100 -- 1250
1107,ABMAP29389,Metacarpal,36.7,Dd,Medieval,1100 -- 1250
1108,ABMAP29389,Metacarpal,226.1,GL,Medieval,1100 -- 1250
1109,ABMAP29389,Metacarpal,33.2,SD,Medieval,1100 -- 1250
1142,ABMAP29154,Metacarpal,44.2,Bd,Medieval,1100 -- 1250
1143,ABMAP29154,Metacarpal,32.7,Dd,Medieval,1100 -- 1250
1144,ABMAP29154,Metacarpal,205.0,GL,Medieval,1100 -- 1250
1145,ABMAP29154,Metacarpal,29.2,SD,Medieval,1100 -- 1250
1152,ABMAP29429,Metacarpal,43.9,Bd,Roman - Saxon,950 -- 1100
