,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
10,ABMAP2074,Radius,77.5,Bd,Roman - Saxon,43 -- 410
11,ABMAP2074,Radius,64.5,BFd,Roman - Saxon,43 -- 410
12,ABMAP2074,Radius,75.8,BFp,Roman - Saxon,43 -- 410
13,ABMAP2074,Radius,83.6,Bp,Roman - Saxon,43 -- 410
14,ABMAP2074,Radius,315.0,Ll,Roman - Saxon,43 -- 410
15,ABMAP2074,Radius,39.1,SD,Roman - Saxon,43 -- 410
20,ABMAP11933,Radius,68.4,Bd,Roman - Saxon,43 -- 410
21,ABMAP11933,Radius,58.2,BFd,Roman - Saxon,43 -- 410
23,ABMAP11880,Radius,75.0,Bd,Roman - Saxon,43 -- 410
24,ABMAP11880,Radius,64.4,BFd,Roman - Saxon,43 -- 410
25,ABMAP11880,Radius,80.0,Bp,Roman - Saxon,43 -- 410
26,ABMAP11880,Radius,345.0,GL,Roman - Saxon,43 -- 410
27,ABMAP11880,Radius,38.5,SD,Roman - Saxon,43 -- 410
28,ABMAP11881,Radius,75.0,Bd,Roman - Saxon,43 -- 410
29,ABMAP11881,Radius,64.4,BFd,Roman - Saxon,43 -- 410
30,ABMAP11881,Radius,80.0,Bp,Roman - Saxon,43 -- 410
31,ABMAP11881,Radius,345.0,GL,Roman - Saxon,43 -- 410
32,ABMAP11881,Radius,38.5,SD,Roman - Saxon,43 -- 410
70,ABMAP5450,Radius,73.5,Bp,Bronze - Iron Age,-299 -- 99
74,ABMAP5469,Radius,63.5,Bd,Medieval,1066 -- 1540
75,ABMAP5469,Radius,58.0,BFd,Medieval,1066 -- 1540
76,ABMAP5469,Radius,68.0,BFp,Medieval,1066 -- 1540
77,ABMAP5469,Radius,73.5,Bp,Medieval,1066 -- 1540
78,ABMAP5469,Radius,300.0,GL,Medieval,1066 -- 1540
79,ABMAP5469,Radius,290.0,Ll,Medieval,1066 -- 1540
80,ABMAP5469,Radius,34.2,SD,Medieval,1066 -- 1540
108,ABMAP2132,Radius,64.6,BFp,Roman - Saxon,200 -- 399
119,ABMAP3080,Radius,65.9,BFp,Roman - Saxon,800 -- 999
120,ABMAP3080,Radius,75.6,Bp,Roman - Saxon,800 -- 999
121,ABMAP3080,Radius,33.5,SD,Roman - Saxon,800 -- 999
137,ABMAP3043,Radius,70.5,Bd,Roman - Saxon,900 -- 999
138,ABMAP3043,Radius,60.8,BFd,Roman - Saxon,900 -- 999
220,ABMAP17329,Radius,73.5,Bp,Bronze - Iron Age,-99 -- 99
264,ABMAP8717,Radius,75.2,Bp,Roman - Saxon,310 -- 330
265,ABMAP8698,Radius,87.0,Bd,Roman - Saxon,310 -- 330
284,ABMAP25990,Radius,78.6,Bp,Roman - Saxon,700 -- 732
311,ABMAP26101,Radius,69.3,BFp,Roman - Saxon,733 -- 832
312,ABMAP26101,Radius,77.9,Bp,Roman - Saxon,733 -- 832
345,ABMAP26103,Radius,82.8,Bp,Roman - Saxon,733 -- 832
389,ABMAP25538,Radius,84.2,Bp,Roman - Saxon,833 -- 932
391,ABMAP26498,Radius,84.2,Bp,Roman - Saxon,833 -- 932
393,ABMAP26104,Radius,77.8,Bd,Roman - Saxon,733 -- 832
394,ABMAP26104,Radius,63.7,BFd,Roman - Saxon,733 -- 832
395,ABMAP25539,Radius,70.9,Bd,Roman - Saxon,833 -- 932
396,ABMAP25540,Radius,67.1,BFp,Roman - Saxon,833 -- 932
397,ABMAP25540,Radius,74.1,Bp,Roman - Saxon,833 -- 932
405,ABMAP26499,Radius,70.9,Bd,Roman - Saxon,833 -- 932
406,ABMAP26500,Radius,67.1,BFp,Roman - Saxon,833 -- 932
407,ABMAP26500,Radius,74.1,Bp,Roman - Saxon,833 -- 932
415,ABMAP26105,Radius,84.0,Bp,Roman - Saxon,733 -- 832
416,ABMAP26502,Radius,68.4,BFp,Roman - Saxon,833 -- 932
417,ABMAP26106,Radius,73.7,Bd,Roman - Saxon,733 -- 832
418,ABMAP26106,Radius,63.9,BFd,Roman - Saxon,733 -- 832
419,ABMAP26107,Radius,79.6,Bp,Roman - Saxon,733 -- 832
427,ABMAP25541,Radius,72.5,BFp,Roman - Saxon,833 -- 932
428,ABMAP25541,Radius,82.1,Bp,Roman - Saxon,833 -- 932
429,ABMAP25541,Radius,330.0,GL,Roman - Saxon,833 -- 932
430,ABMAP25541,Radius,37.5,SD,Roman - Saxon,833 -- 932
479,ABMAP26501,Radius,72.5,BFp,Roman - Saxon,833 -- 932
480,ABMAP26501,Radius,82.1,Bp,Roman - Saxon,833 -- 932
481,ABMAP26501,Radius,330.0,GL,Roman - Saxon,833 -- 932
482,ABMAP26501,Radius,37.5,SD,Roman - Saxon,833 -- 932
537,ABMAP26100,Radius,75.2,Bd,Roman - Saxon,733 -- 832
538,ABMAP26100,Radius,53.5,BFd,Roman - Saxon,733 -- 832
549,ABMAP26102,Radius,75.0,Bd,Roman - Saxon,733 -- 832
550,ABMAP26102,Radius,248.0,GL,Roman - Saxon,733 -- 832
551,ABMAP26102,Radius,36.0,SD,Roman - Saxon,733 -- 832
565,ABMAP5418,Radius,66.0,Bd,Bronze - Iron Age,-800 -- 43
566,ABMAP5418,Radius,69.9,Bp,Bronze - Iron Age,-800 -- 43
567,ABMAP5418,Radius,300.0,GL,Bronze - Iron Age,-800 -- 43
580,ABMAP13850,Radius,73.4,Bd,Medieval,1200 -- 1299
581,ABMAP13850,Radius,61.8,BFd,Medieval,1200 -- 1299
794,ABMAP471,Radius,52.9,Bd,Bronze - Iron Age,-100 -- -43
795,ABMAP471,Radius,49.3,BFp,Bronze - Iron Age,-100 -- -43
796,ABMAP471,Radius,210.5,GL,Bronze - Iron Age,-100 -- -43
797,ABMAP471,Radius,201.4,Ll,Bronze - Iron Age,-100 -- -43
798,ABMAP471,Radius,29.6,SD,Bronze - Iron Age,-100 -- -43
801,ABMAP530,Radius,65.6,Bp,Bronze - Iron Age,-100 -- -43
802,ABMAP530,Radius,299.5,GL,Bronze - Iron Age,-100 -- -43
803,ABMAP530,Radius,31.9,SD,Bronze - Iron Age,-100 -- -43
804,ABMAP494,Radius,64.9,Bd,Bronze - Iron Age,-100 -- -43
805,ABMAP495,Radius,61.6,BFp,Bronze - Iron Age,-100 -- -43
806,ABMAP495,Radius,67.7,Bp,Bronze - Iron Age,-100 -- -43
813,ABMAP507,Radius,67.4,Bd,Bronze - Iron Age,-100 -- -43
814,ABMAP507,Radius,67.9,BFp,Bronze - Iron Age,-100 -- -43
815,ABMAP507,Radius,74.6,Bp,Bronze - Iron Age,-100 -- -43
816,ABMAP507,Radius,319.0,GL,Bronze - Iron Age,-100 -- -43
817,ABMAP507,Radius,299.5,Ll,Bronze - Iron Age,-100 -- -43
818,ABMAP507,Radius,32.1,SD,Bronze - Iron Age,-100 -- -43
848,ABMAP581,Radius,74.9,Bp,Bronze - Iron Age,-100 -- -43
849,ABMAP582,Radius,62.9,Bd,Bronze - Iron Age,-100 -- -43
850,ABMAP582,Radius,55.9,BFd,Bronze - Iron Age,-100 -- -43
851,ABMAP582,Radius,64.3,BFp,Bronze - Iron Age,-100 -- -43
852,ABMAP582,Radius,69.5,Bp,Bronze - Iron Age,-100 -- -43
853,ABMAP582,Radius,287.0,GL,Bronze - Iron Age,-100 -- -43
854,ABMAP582,Radius,276.0,Ll,Bronze - Iron Age,-100 -- -43
855,ABMAP582,Radius,32.2,SD,Bronze - Iron Age,-100 -- -43
856,ABMAP583,Radius,68.9,Bd,Bronze - Iron Age,-100 -- -43
857,ABMAP583,Radius,61.8,BFd,Bronze - Iron Age,-100 -- -43
858,ABMAP583,Radius,70.9,BFp,Bronze - Iron Age,-100 -- -43
859,ABMAP583,Radius,76.3,Bp,Bronze - Iron Age,-100 -- -43
860,ABMAP583,Radius,304.0,GL,Bronze - Iron Age,-100 -- -43
861,ABMAP583,Radius,297.0,Ll,Bronze - Iron Age,-100 -- -43
862,ABMAP583,Radius,35.0,SD,Bronze - Iron Age,-100 -- -43
881,ABMAP545,Radius,62.4,Bd,Bronze - Iron Age,-100 -- -43
882,ABMAP545,Radius,54.7,BFd,Bronze - Iron Age,-100 -- -43
883,ABMAP545,Radius,64.9,BFp,Bronze - Iron Age,-100 -- -43
884,ABMAP545,Radius,68.9,Bp,Bronze - Iron Age,-100 -- -43
885,ABMAP545,Radius,270.9,GL,Bronze - Iron Age,-100 -- -43
886,ABMAP545,Radius,266.7,Ll,Bronze - Iron Age,-100 -- -43
887,ABMAP545,Radius,31.9,SD,Bronze - Iron Age,-100 -- -43
972,ABMAP29092,Radius,73.2,Bd,Medieval,1100 -- 1250
973,ABMAP29092,Radius,340.4,GL,Medieval,1100 -- 1250
987,ABMAP29217,Radius,64.9,Bd,Medieval,1100 -- 1250
988,ABMAP29217,Radius,309.6,GL,Medieval,1100 -- 1250
992,ABMAP29235,Radius,69.6,Bd,Medieval,1300 -- 1450
993,ABMAP29235,Radius,317.3,GL,Medieval,1300 -- 1450
1020,ABMAP29256,Radius,342.7,GL,Medieval,1450 -- 1800
1050,ABMAP29300,Radius,324.0,GL,Medieval,1250 -- 1400
1057,ABMAP28737,Radius,325.7,GL,Medieval,1250 -- 1400
1097,ABMAP29378,Radius,63.5,Bd,Medieval,1100 -- 1250
1098,ABMAP29378,Radius,296.1,GL,Medieval,1100 -- 1250
1135,ABMAP29474,Radius,314.6,GL,Medieval,1100 -- 1250
1186,ABMAP28596,Radius,69.8,Bd,Medieval,1100 -- 1250
1258,ABMAP28828,Radius,310.7,GL,Medieval,1300 -- 1450
1272,ABMAP28835,Radius,62.6,Bd,Medieval,1250 -- 1400
1302,ABMAP28861,Radius,66.0,Bd,Medieval,1100 -- 1250
1303,ABMAP28861,Radius,295.5,GL,Medieval,1100 -- 1250
1311,ABMAP28875,Radius,304.0,GL,Medieval,1300 -- 1450
1482,ABMAP16617,Radius,49.5,BFd,Medieval,1367 -- 1499
1483,ABMAP16617,Radius,59.9,BFp,Medieval,1367 -- 1499
1484,ABMAP16618,Radius,68.6,Bd,Medieval,1033 -- 1499
1485,ABMAP16618,Radius,58.5,BFd,Medieval,1033 -- 1499
1486,ABMAP16618,Radius,67.2,BFp,Medieval,1033 -- 1499
1487,ABMAP16618,Radius,74.7,Bp,Medieval,1033 -- 1499
1488,ABMAP16618,Radius,306.0,GL,Medieval,1033 -- 1499
1489,ABMAP16618,Radius,292.0,Ll,Medieval,1033 -- 1499
1490,ABMAP16618,Radius,34.2,SD,Medieval,1033 -- 1499
1508,ABMAP9508,Radius,72.4,Bd,Roman - Saxon,333 -- 366
1509,ABMAP9508,Radius,67.3,BFp,Roman - Saxon,333 -- 366
