,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
55,ABMAP14549,Scapula,87.0,GLP,Medieval,1600 -- 1650
56,ABMAP14549,Scapula,54.5,LG,Medieval,1600 -- 1650
88,ABMAP15381,Scapula,41.7,BG,Roman - Saxon,43 -- 410
89,ABMAP15381,Scapula,50.0,LG,Roman - Saxon,43 -- 410
90,ABMAP15381,Scapula,51.8,SLC,Roman - Saxon,43 -- 410
122,ABMAP3086,Scapula,42.0,BG,Roman - Saxon,800 -- 999
123,ABMAP3086,Scapula,88.8,GLP,Roman - Saxon,800 -- 999
124,ABMAP3086,Scapula,52.7,LG,Roman - Saxon,800 -- 999
153,ABMAP60,Scapula,50.0,SLC,Roman - Saxon,775 -- 800
173,ABMAP58,Scapula,46.0,BG,Roman - Saxon,775 -- 800
174,ABMAP58,Scapula,56.0,LG,Roman - Saxon,775 -- 800
175,ABMAP58,Scapula,71.0,SLC,Roman - Saxon,775 -- 800
176,ABMAP59,Scapula,71.3,SLC,Roman - Saxon,775 -- 800
202,ABMAP57,Scapula,46.1,BG,Roman - Saxon,775 -- 800
225,ABMAP17110,Scapula,54.3,SLC,Bronze - Iron Age,-99 -- 99
228,ABMAP17096,Scapula,44.6,BG,Bronze - Iron Age,-99 -- 99
229,ABMAP17096,Scapula,80.8,GLP,Bronze - Iron Age,-99 -- 99
230,ABMAP17096,Scapula,51.3,LG,Bronze - Iron Age,-99 -- 99
231,ABMAP17096,Scapula,60.3,SLC,Bronze - Iron Age,-99 -- 99
582,ABMAP2962,Scapula,44.5,BG,Roman - Saxon,900 -- 999
583,ABMAP2962,Scapula,85.3,GLP,Roman - Saxon,900 -- 999
584,ABMAP2962,Scapula,55.3,LG,Roman - Saxon,900 -- 999
585,ABMAP2962,Scapula,60.5,SLC,Roman - Saxon,900 -- 999
666,ABMAP2963,Scapula,46.3,BG,Roman - Saxon,900 -- 999
667,ABMAP2963,Scapula,89.6,GLP,Roman - Saxon,900 -- 999
668,ABMAP2963,Scapula,56.9,LG,Roman - Saxon,900 -- 999
669,ABMAP2963,Scapula,63.2,SLC,Roman - Saxon,900 -- 999
767,ABMAP475,Scapula,47.3,BG,Bronze - Iron Age,-100 -- -43
768,ABMAP475,Scapula,84.6,GLP,Bronze - Iron Age,-100 -- -43
769,ABMAP475,Scapula,55.1,LG,Bronze - Iron Age,-100 -- -43
770,ABMAP475,Scapula,66.6,SLC,Bronze - Iron Age,-100 -- -43
819,ABMAP521,Scapula,43.8,BG,Bronze - Iron Age,-100 -- -43
820,ABMAP521,Scapula,83.0,GLP,Bronze - Iron Age,-100 -- -43
821,ABMAP521,Scapula,52.5,LG,Bronze - Iron Age,-100 -- -43
822,ABMAP521,Scapula,66.5,SLC,Bronze - Iron Age,-100 -- -43
868,ABMAP537,Scapula,61.2,SLC,Bronze - Iron Age,-100 -- -43
898,ABMAP21043,Scapula,49.4,BG,Medieval,1066 -- 1540
899,ABMAP21043,Scapula,94.3,GLP,Medieval,1066 -- 1540
900,ABMAP21043,Scapula,49.9,LG,Medieval,1066 -- 1540
901,ABMAP21043,Scapula,72.5,SLC,Medieval,1066 -- 1540
930,ABMAP29016,Scapula,53.3,SLC,Medieval,1250 -- 1400
977,ABMAP29189,Scapula,60.9,SLC,Medieval,1100 -- 1250
1024,ABMAP29261,Scapula,50.0,SLC,Medieval,1300 -- 1450
1037,ABMAP29278,Scapula,47.9,SLC,Medieval,1300 -- 1450
1049,ABMAP29299,Scapula,44.5,SLC,Medieval,1250 -- 1400
1070,ABMAP29319,Scapula,60.1,SLC,Medieval,1250 -- 1400
1116,ABMAP29406,Scapula,52.0,SLC,Medieval,1450 -- 1800
1123,ABMAP29427,Scapula,61.2,SLC,Medieval,1100 -- 1250
1148,ABMAP29520,Scapula,54.0,SLC,Roman - Saxon,950 -- 1100
1181,ABMAP28797,Scapula,48.9,SLC,Medieval,1250 -- 1400
1194,ABMAP28675,Scapula,55.5,SLC,Medieval,1300 -- 1450
1218,ABMAP28761,Scapula,60.1,SLC,Medieval,1250 -- 1400
1318,ABMAP28884,Scapula,55.8,SLC,Medieval,1250 -- 1400
1355,ABMAP18119,Scapula,53.5,BG,Medieval,1600 -- 1799
1356,ABMAP18119,Scapula,104.5,GLP,Medieval,1600 -- 1799
1357,ABMAP18119,Scapula,63.6,LG,Medieval,1600 -- 1799
1358,ABMAP18119,Scapula,71.5,SLC,Medieval,1600 -- 1799
1382,ABMAP16612,Scapula,53.0,SLC,Medieval,1367 -- 1499
1386,ABMAP16613,Scapula,39.1,BG,Medieval,1033 -- 1199
1387,ABMAP16613,Scapula,83.2,GLP,Medieval,1033 -- 1199
1388,ABMAP16613,Scapula,55.5,SLC,Medieval,1033 -- 1199
1391,ABMAP16614,Scapula,44.7,BG,Medieval,1167 -- 1399
1392,ABMAP16614,Scapula,53.3,LG,Medieval,1167 -- 1399
1473,ABMAP16615,Scapula,47.1,SLC,Medieval,1167 -- 1399
1474,ABMAP16610,Scapula,40.3,BG,Medieval,1167 -- 1399
1475,ABMAP16610,Scapula,82.0,GLP,Medieval,1167 -- 1399
1476,ABMAP16610,Scapula,55.3,SLC,Medieval,1167 -- 1399
1493,ABMAP16611,Scapula,41.5,BG,Medieval,1167 -- 1399
1494,ABMAP16611,Scapula,56.5,SLC,Medieval,1167 -- 1399
