,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
126,ABMAP3087,Femur,113.9,Bp,Roman - Saxon,800 -- 999
446,ABMAP25546,Femur,118.4,Bp,Roman - Saxon,833 -- 932
502,ABMAP26509,Femur,118.4,Bp,Roman - Saxon,833 -- 932
722,ABMAP20055,Femur,144.0,Bp,Medieval,1700 -- 1799
838,ABMAP577,Femur,99.7,Bp,Bronze - Iron Age,-100 -- -43
894,ABMAP549,Femur,97.0,Bp,Bronze - Iron Age,-100 -- -43
1348,ABMAP17512,Femur,134.3,Bp,Medieval,1600 -- 1799
1370,ABMAP17728,Femur,149.7,Bp,Medieval,1600 -- 1799
1421,ABMAP16622,Femur,101.7,Bp,Medieval,1033 -- 1199
1940,ABMAP1276,Femur,113.3,Bp,Roman - Saxon,43 -- 410
1946,ABMAP618,Femur,111.0,Bp,Roman - Saxon,43 -- 410
2651,ABMAP15789,Femur,96.0,Bp,Bronze - Iron Age,-400 -- -100
