,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
125,ABMAP3087,Femur,85.8,Bd,Roman - Saxon,800 -- 999
344,ABMAP26116,Femur,109.5,Bd,Roman - Saxon,733 -- 832
448,ABMAP25547,Femur,91.0,Bd,Roman - Saxon,833 -- 932
498,ABMAP26508,Femur,91.0,Bd,Roman - Saxon,833 -- 932
594,ABMAP2973,Femur,105.0,Bd,Roman - Saxon,900 -- 999
699,ABMAP16577,Femur,95.0,Bd,Medieval,1139 -- 1200
700,ABMAP16578,Femur,115.0,Bd,Medieval,1139 -- 1200
893,ABMAP549,Femur,77.6,Bd,Bronze - Iron Age,-100 -- -43
1347,ABMAP17512,Femur,108.4,Bd,Medieval,1600 -- 1799
1418,ABMAP16621,Femur,84.1,Bd,Medieval,1033 -- 1199
1420,ABMAP16622,Femur,83.5,Bd,Medieval,1033 -- 1199
1706,ABMAP28023,Femur,85.9,Bd,Roman - Saxon,800 -- 1066
1937,ABMAP1271,Femur,80.3,Bd,Roman - Saxon,43 -- 410
1945,ABMAP618,Femur,94.0,Bd,Roman - Saxon,43 -- 410
1975,ABMAP8848,Femur,98.0,Bd,Medieval,1066 -- 1540
1992,ABMAP8940,Femur,83.5,Bd,Bronze - Iron Age,-299 -- -100
2030,J_GRIMM_08WA56530-472,Femur,77.3,Bd,Roman - Saxon,300 -- 400
2552,ABMAP15712,Femur,74.4,Bd,Bronze - Iron Age,-400 -- -100
2590,ABMAP15579,Femur,77.1,Bd,Bronze - Iron Age,-400 -- -100
2653,ABMAP15790,Femur,83.1,Bd,Bronze - Iron Age,-400 -- -100
2700,ABMAP15622,Femur,81.0,Bd,Bronze - Iron Age,-400 -- -100
2728,ABMAP15689,Femur,78.5,Bd,Roman - Saxon,43 -- 410
2844,ABMAP9248,Femur,72.0,Bd,Bronze - Iron Age,0 -- 99
