,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
18,ABMAP11849,Femur,47.1,SD,Roman - Saxon,43 -- 410
66,ABMAP5452,Femur,32.0,SD,Bronze - Iron Age,-299 -- 42
98,ABMAP15415,Femur,44.0,SD,Roman - Saxon,100 -- 199
129,ABMAP3087,Femur,39.2,SD,Roman - Saxon,800 -- 999
315,ABMAP25997,Femur,41.5,SD,Roman - Saxon,700 -- 732
451,ABMAP25547,Femur,42.2,SD,Roman - Saxon,833 -- 932
501,ABMAP26508,Femur,42.2,SD,Roman - Saxon,833 -- 932
595,ABMAP2973,Femur,38.8,SD,Roman - Saxon,900 -- 999
634,ABMAP2974,Femur,39.9,SD,Medieval,1200 -- 1399
637,ABMAP2975,Femur,38.1,SD,Medieval,1200 -- 1399
726,ABMAP20055,Femur,54.9,SD,Medieval,1700 -- 1799
897,ABMAP549,Femur,35.3,SD,Bronze - Iron Age,-100 -- -43
1352,ABMAP17512,Femur,49.7,SD,Medieval,1600 -- 1799
1364,ABMAP17677,Femur,53.2,SD,Medieval,1600 -- 1799
1425,ABMAP16622,Femur,39.3,SD,Medieval,1033 -- 1199
1950,ABMAP618,Femur,40.1,SD,Roman - Saxon,43 -- 410
1976,ABMAP8848,Femur,46.0,SD,Medieval,1066 -- 1540
1994,ABMAP8940,Femur,33.0,SD,Bronze - Iron Age,-299 -- -100
2066,J_GRIMM_08WA58571-826,Femur,36.4,SD,Bronze - Iron Age,100 -- 150
2125,J_GRIMM_08WA58720-27,Femur,32.9,SD,Medieval,1075 -- 1125
2130,J_GRIMM_08WA58720-25,Femur,38.1,SD,Medieval,1300 -- 1400
2134,J_GRIMM_08WA58720-26,Femur,40.0,SD,Roman - Saxon,43 -- 410
2556,ABMAP15712,Femur,31.9,SD,Bronze - Iron Age,-400 -- -100
3038,ABMAP10844,Femur,35.5,SD,Roman - Saxon,43 -- 410
